invno,itemcode,qty,discount_applied,purchaseprice
31,7976725394899,548,,
32,8850798933278,68,,
32,8969260717811,480,,
32,8870966316941,392,,
32,8855307151757,401,,
32,8698245711788,58,,
32,8818902279466,245,,
33,2643460146790,205,,
33,2709426370477,88,,
33,2654038998666,98,,
33,2705557850442,343,,
34,8595556947025,294,,
34,8545856835077,333,,
34,8661092572073,382,,
34,8608437425031,392,,
35,3019016415690,176,,
35,3122731609293,323,,
35,2987909195327,127,,
35,2983636851698,470,,
35,5499286034179,205,,
35,5544078143207,68,,
35,5485368118641,156,,
36,5350048362343,117,,
36,5370986388570,548,,
36,5439629021301,254,,
36,5349361363863,323,,
37,4739422832525,215,,
37,4851840741252,88,,
37,4895365430576,186,,
37,4837249350162,519,,
37,4825852974804,294,,
37,4890920461762,470,,
38,7544825526916,254,,
38,7486531045774,450,,
39,2605660903398,279,,
39,2597204678722,147,,
39,2595994337763,83,,
39,2590707453924,421,,
39,5989242318824,127,,
39,5951225905095,29,,
39,5966272914947,382,,
39,6125059283852,210,,
40,1439053985400,16,,
40,2373725207026,284,,
40,2088608077085,220,,
40,2555835514420,318,,
41,2900208657586,58,,
41,2916972416682,431,,
41,2866539874824,78,,
41,2800023910853,470,,
42,7804641717569,39,,
42,7793773348109,88,,
42,7804855132214,352,,
42,7879554477541,49,,
42,9339950665845,382,,
42,9436798251188,362,,
42,9446076457936,85,,
42,9553173797823,215,,
42,9403419844654,499,,
42,9414224955035,240,,
42,9233874001771,78,,
42,9316185730901,460,,
42,9255637255942,382,,
42,9209129666344,176,,
42,9185744755773,509,,
43,3930414206368,156,,
43,4191219557328,215,,
43,4122104508667,303,,
43,4197333218543,725,,
44,2230532458878,421,,
44,1875510394615,646,,
44,1805628685987,328,,
44,1412167433738,460,,
45,1956109645359,107,,
45,1202090786034,205,,
45,1107598387298,127,,
45,157450008615,568,,
46,4681303644644,254,,
46,4486300323739,137,,
46,4226632397877,259,,
46,4419592058135,166,,
46,4297619923267,196,,
46,4540147594200,274,,
46,4287124254059,34,,
46,4198370883808,88,,
46,1454877089182,29,,
46,1487193399950,166,,
46,638867726851,19,,
46,1810290627660,597,,
